"","cand_pty_affiliation","general_votes","ttl_disb","can_party","disb","votes"
"369","DEM",236713,1146668.15,"DEM",13.9523710342853,236713
"370","REP",107519,42809.87,"REP",10.6645239624607,107519
"371","DEM",265823,1797668.25,"DEM",14.4020009664222,265823
"372","REP",113055,18632.67,"REP",9.83267177055697,113055
"373","DEM",285606,669000.12,"DEM",13.4135395184825,285606
"374","DEM",308923,1634839.69,"DEM",14.3070553085767,308923
"375","DEM",253354,695853.17,"DEM",13.4528939544171,253354
"376","DEM",271019,528715.64,"DEM",13.1782060237796,271019
"377","REP",102744,48129.1,"REP",10.7816422627664,102744
"378","DEM",211790,444154.18,"DEM",13.0039270333885,211790
"379","REP",127803,261805.18,"REP",12.4753559183585,127803
"380","NNE",26233,55330.17,"Other",10.9210736083617,26233
"381","NPA",8338,8608,"Other",9.06044728240157,8338
"382","REP",197777,1377305.77,"REP",14.1356398082526,197777
"383","DEM",144334,2059958.93,"DEM",14.5381966036738,144334
"384","LIB",13386,6189.39,"Other",8.73059181478066,13386
"385","REP",212508,1309020.13,"REP",14.0847894229251,212508
"386","DEM",110391,16088.15,"DEM",9.68583825512856,110391
"387","REP",203545,799297.29,"REP",13.5914882331417,203545
"388","DEM",128400,26310.9,"DEM",10.1777385809749,128400
"389","REP",194572,1045552.12,"REP",13.8600556483538,194572
"390","W",101277,12711.02,"Other",9.45022461273376,101277
"391","DEM",195279,706564.67,"DEM",13.4681700126571,195279
"392","REP",193259,2546883.56,"REP",14.7503810363873,193259
"393","DEM",119980,1152059.41,"DEM",13.9570616900888,119980
"394","LIB",16248,9131,"Other",9.11943049661634,16248
"395","REP",184321,2575216.79,"REP",14.7614442788274,184321
"396","DEM",134010,2561635.96,"DEM",14.7561566592272,134010
"397","REP",205629,1591430.85,"REP",14.2801440751845,205629
"398","DEM",143791,771643.32,"DEM",13.5562777015171,143791
"399","OTH",2250,0,"Other",-Inf,2250
"400","DEM",199661,1279793.74,"DEM",14.0622094822863,199661
"401","REP",215132,3970681.06,"REP",15.1944481895874,215132
"402","DEM",110112,48426.12,"DEM",10.787794616557,110112
"403","REP",200872,1376818.13,"REP",14.1352856920089,200872
"404","DEM",152461,1169613.05,"DEM",13.9721835255761,152461
"405","REP",16610,52123.23,"REP",10.86136600169,16610
"406","DEM",211378,1056245.1,"DEM",13.8702308185895,211378
"407","REP",96104,20073,"REP",9.90713090745093,96104
"408","LIB",7489,568.65,"Other",6.34326513063045,7489
"409","DEM",198771,622192.61,"DEM",13.3410049861652,198771
"410","DEM",244135,700510.92,"DEM",13.4595652335028,244135
"411","DEM",169074,1610108.27,"DEM",14.2918119831468,169074
"412","REP",166526,370919.23,"REP",12.8237396089927,166526
"413","REP",173970,1035971.94,"REP",13.8508506164927,173970
"414","DEM",167315,4799017.54,"DEM",15.3839217757618,167315
"415","IDP",28869,4100.26,"Other",8.31880566531592,28869
"416","REP",223077,5782424.64,"REP",15.5703336405774,223077
"417","DFL",169243,1974811.76,"Other",14.4959836403825,169243
"418","DFL",203299,966856.3,"Other",13.7818051594631,203299
"419","REP",121032,62633.03,"REP",11.0450480537201,121032
"420","DEM",249964,2472467.93,"DEM",14.7207273717174,249964
"421","REP",235380,1767927.84,"REP",14.3853187068672,235380
"422","DEM",173589,684956.19,"DEM",13.4371101589947,173589
"423","REP",156952,19563.84,"REP",9.88143824333916,156952
"424","DFL",179098,2892902.31,"Other",14.877770815673,179098
"425","REP",177089,3777616.71,"REP",15.1446038687471,177089
"426","REP",206455,950930.06,"REP",13.7651957951848,206455
"427","DEM",192343,1029507.38,"DEM",13.8445909739527,192343
"428","REP",83542,0,"REP",-Inf,83542
"429","REP",209490,1153288.68,"REP",13.9581281408533,209490
"430","REP",181323,609274.42,"REP",13.3200240527523,181323
"431","DEM",77505,61077.05,"DEM",11.0198914608512,77505
"432","DEM",236993,738018.68,"DEM",13.5117244149154,236993
"433","REP",241954,1526930.25,"REP",14.2387699053579,241954
"434","DEM",155689,463311.27,"DEM",13.0461543965999,155689
"435","REP",249865,1012689.21,"REP",13.8281199345781,249865
"436","CON",3605,1894,"Other",7.54644627374602,3605
"437","REP",225348,918745.78,"REP",13.7307647363014,225348
